"timestamp","relogoRun","boidBoidCollisions","boidObstacleCollisions","flocksMaxSize","flocksNumber"
169.0,1,1.0,0,10,4
170.0,1,2.0,0,10,4
171.0,1,1.0,0,10,4
172.0,1,1.0,0,10,4
173.0,1,3.0,0,10,4
174.0,1,4.0,0,10,4
175.0,1,4.0,0,10,4
176.0,1,2.0,0,10,4
177.0,1,2.0,0,10,4
178.0,1,1.0,0,10,4
179.0,1,1.0,0,10,4
180.0,1,0.0,0,10,4
181.0,1,3.0,1,10,4
182.0,1,3.0,2,10,4
183.0,1,2.0,1,10,4
184.0,1,4.0,1,10,4
185.0,1,3.0,0,10,4
186.0,1,3.0,0,10,4
187.0,1,3.0,0,10,4
188.0,1,3.0,0,10,4
189.0,1,3.0,0,10,4
190.0,1,2.0,0,10,4
191.0,1,3.0,0,10,4
192.0,1,2.0,0,10,4
193.0,1,2.0,0,10,4
194.0,1,2.0,0,10,4
195.0,1,2.0,0,10,4
196.0,1,2.0,0,10,4
197.0,1,2.0,0,10,4
198.0,1,1.0,0,10,3
199.0,1,1.0,0,10,3
200.0,1,2.0,0,10,3
201.0,1,1.0,0,10,3
202.0,1,1.0,0,10,3
203.0,1,0.0,0,10,3
204.0,1,0.0,0,10,3
205.0,1,1.0,0,10,3
206.0,1,1.0,0,10,3
207.0,1,2.0,0,10,3
208.0,1,2.0,0,10,3
209.0,1,2.0,0,10,3
210.0,1,3.0,0,10,3
211.0,1,4.0,0,10,3
212.0,1,2.0,0,10,3
213.0,1,3.0,0,10,3
214.0,1,3.0,0,10,3
215.0,1,3.0,0,10,3
216.0,1,1.0,0,10,3
217.0,1,4.0,0,10,3
218.0,1,2.0,0,10,3
219.0,1,3.0,0,10,3
220.0,1,3.0,0,10,3
221.0,1,1.0,0,10,3
222.0,1,1.0,0,10,3
223.0,1,1.0,0,10,3
224.0,1,3.0,0,10,3
225.0,1,1.0,0,10,3
226.0,1,0.0,0,10,3
227.0,1,1.0,0,10,3
228.0,1,0.0,0,10,3
229.0,1,1.0,0,10,3
230.0,1,0.0,0,10,3
231.0,1,1.0,0,10,3
232.0,1,1.0,0,10,3
233.0,1,1.0,0,10,3
234.0,1,1.0,0,10,3
235.0,1,1.0,0,10,3
236.0,1,1.0,0,10,3
237.0,1,2.0,0,10,3
238.0,1,1.0,0,10,3
239.0,1,2.0,0,10,3
240.0,1,2.0,0,10,3
241.0,1,2.0,0,10,3
242.0,1,1.0,0,10,3
243.0,1,1.0,0,10,3
244.0,1,1.0,0,10,3
245.0,1,2.0,0,10,3
246.0,1,3.0,0,10,3
247.0,1,2.0,0,10,3
248.0,1,3.0,0,10,3
249.0,1,2.0,0,10,3
250.0,1,3.0,0,10,3
251.0,1,3.0,0,10,3
252.0,1,5.0,0,10,3
253.0,1,5.0,0,10,3
254.0,1,5.0,0,10,3
255.0,1,6.0,0,10,3
256.0,1,4.0,0,15,2
257.0,1,3.0,0,15,2
258.0,1,3.0,0,15,2
259.0,1,3.0,0,15,2
260.0,1,2.0,0,15,2
261.0,1,1.0,0,15,2
262.0,1,1.0,0,15,2
263.0,1,1.0,0,15,2
264.0,1,1.0,0,15,2
265.0,1,1.0,0,15,2
266.0,1,2.0,0,15,2
267.0,1,3.0,0,15,2
268.0,1,1.0,0,15,2
269.0,1,2.0,0,15,2
270.0,1,0.0,0,15,2
271.0,1,1.0,0,15,2
272.0,1,0.0,0,15,2
273.0,1,0.0,0,15,2
274.0,1,0.0,0,15,2
275.0,1,0.0,0,15,2
276.0,1,1.0,0,15,2
277.0,1,1.0,0,15,2
278.0,1,1.0,0,15,2
279.0,1,1.0,0,15,2
280.0,1,0.0,0,15,2
281.0,1,0.0,0,15,2
282.0,1,1.0,0,15,2
283.0,1,0.0,0,15,2
284.0,1,2.0,0,15,2
285.0,1,3.0,0,15,2
286.0,1,3.0,0,15,2
287.0,1,1.0,0,15,2
288.0,1,2.0,0,15,2
289.0,1,3.0,0,15,2
290.0,1,3.0,0,15,2
291.0,1,4.0,0,15,2
292.0,1,5.0,0,15,2
293.0,1,5.0,0,15,2
294.0,1,6.0,0,15,2
295.0,1,7.0,0,15,2
296.0,1,11.0,0,15,2
297.0,1,10.0,0,15,2
298.0,1,11.0,0,15,2
299.0,1,5.0,0,15,2
300.0,1,8.0,0,15,2
301.0,1,7.0,0,15,2
302.0,1,7.0,0,15,2
303.0,1,2.0,0,15,2
304.0,1,5.0,0,15,2
305.0,1,1.0,0,15,2
306.0,1,1.0,0,15,2
307.0,1,1.0,0,15,2
308.0,1,1.0,0,15,2
309.0,1,1.0,0,15,2
310.0,1,0.0,0,15,2
311.0,1,0.0,0,15,2
312.0,1,0.0,0,15,2
313.0,1,0.0,0,15,2
314.0,1,0.0,0,15,2
315.0,1,0.0,0,15,2
316.0,1,0.0,0,15,2
317.0,1,0.0,0,15,2
318.0,1,0.0,0,15,2
319.0,1,0.0,0,15,2
320.0,1,0.0,0,15,2
321.0,1,0.0,0,15,2
322.0,1,0.0,0,15,2
323.0,1,0.0,0,15,2
324.0,1,0.0,0,15,2
325.0,1,0.0,0,15,2
326.0,1,1.0,0,15,2
327.0,1,1.0,0,15,2
328.0,1,0.0,0,15,2
329.0,1,1.0,0,15,2
330.0,1,0.0,0,15,2
331.0,1,1.0,0,15,2
332.0,1,0.0,0,15,2
333.0,1,1.0,0,15,2
334.0,1,0.0,0,15,2
335.0,1,0.0,0,15,2
336.0,1,1.0,0,15,2
337.0,1,1.0,0,15,2
338.0,1,0.0,0,15,2
339.0,1,0.0,0,15,2
340.0,1,0.0,0,15,2
341.0,1,0.0,0,15,2
342.0,1,1.0,0,15,2
343.0,1,0.0,0,15,2
344.0,1,1.0,0,15,2
345.0,1,0.0,0,15,2
346.0,1,0.0,0,15,2
347.0,1,0.0,0,15,2
348.0,1,0.0,0,15,2
349.0,1,1.0,0,15,2
350.0,1,0.0,0,15,2
351.0,1,0.0,0,15,2
352.0,1,0.0,0,15,2
353.0,1,0.0,0,15,2
354.0,1,1.0,0,15,2
355.0,1,0.0,0,15,2
356.0,1,1.0,0,15,2
357.0,1,0.0,0,15,2
358.0,1,0.0,0,15,2
359.0,1,0.0,0,15,2
360.0,1,2.0,0,15,2
361.0,1,2.0,0,15,2
362.0,1,2.0,0,15,2
363.0,1,1.0,0,15,2
364.0,1,1.0,0,15,2
365.0,1,2.0,0,15,2
366.0,1,1.0,0,15,2
367.0,1,1.0,0,15,2
368.0,1,0.0,0,15,2
369.0,1,0.0,0,15,2
370.0,1,0.0,0,15,2
371.0,1,0.0,0,15,2
372.0,1,0.0,0,15,2
373.0,1,0.0,0,15,2
374.0,1,0.0,0,15,2
375.0,1,0.0,0,15,2
376.0,1,1.0,0,15,2
377.0,1,1.0,0,15,2
378.0,1,0.0,0,15,2
379.0,1,0.0,0,15,2
380.0,1,0.0,0,15,2
381.0,1,0.0,0,15,2
382.0,1,0.0,0,15,2
383.0,1,0.0,0,15,2
384.0,1,1.0,0,15,2
385.0,1,0.0,0,15,2
386.0,1,0.0,0,15,2
387.0,1,1.0,0,15,2
388.0,1,0.0,0,15,2
389.0,1,0.0,0,15,2
390.0,1,0.0,0,15,2
391.0,1,1.0,0,15,2
392.0,1,0.0,0,15,2
393.0,1,0.0,0,15,2
394.0,1,1.0,0,15,2
395.0,1,0.0,0,15,2
396.0,1,1.0,0,15,2
397.0,1,1.0,0,14,3
398.0,1,2.0,0,25,1
399.0,1,3.0,0,24,2
400.0,1,2.0,0,24,2
401.0,1,2.0,0,25,1
402.0,1,1.0,0,24,2
403.0,1,1.0,0,24,2
404.0,1,2.0,0,24,2
405.0,1,1.0,0,24,2
406.0,1,1.0,0,24,2
407.0,1,2.0,0,24,2
408.0,1,1.0,0,24,2
409.0,1,1.0,0,24,2
410.0,1,3.0,0,24,2
411.0,1,0.0,0,24,2
412.0,1,2.0,0,24,2
413.0,1,1.0,0,24,2
414.0,1,3.0,0,24,2
415.0,1,1.0,0,24,2
416.0,1,2.0,0,24,2
417.0,1,2.0,0,24,2
418.0,1,2.0,0,24,2
419.0,1,2.0,0,24,2
420.0,1,2.0,0,24,2
421.0,1,1.0,0,24,2
422.0,1,3.0,0,24,2
423.0,1,2.0,0,24,2
424.0,1,2.0,0,24,2
425.0,1,0.0,0,24,2
426.0,1,2.0,0,24,2
427.0,1,1.0,0,24,2
428.0,1,1.0,0,24,2
429.0,1,1.0,0,24,2
430.0,1,0.0,0,24,2
431.0,1,1.0,0,24,2
432.0,1,2.0,0,24,2
433.0,1,0.0,0,24,2
434.0,1,1.0,0,24,2
435.0,1,0.0,0,24,2
436.0,1,0.0,0,24,2
437.0,1,1.0,0,24,2
438.0,1,1.0,0,24,2
439.0,1,1.0,0,24,2
440.0,1,0.0,0,24,2
441.0,1,0.0,0,24,2
442.0,1,0.0,0,24,2
443.0,1,1.0,0,24,2
444.0,1,0.0,0,24,2
445.0,1,1.0,0,24,2
446.0,1,2.0,0,24,2
447.0,1,3.0,0,24,2
448.0,1,2.0,0,24,2
449.0,1,1.0,0,24,2
450.0,1,2.0,0,24,2
451.0,1,2.0,0,24,2
452.0,1,3.0,0,24,2
453.0,1,1.0,0,24,2
454.0,1,1.0,0,24,2
455.0,1,1.0,0,24,2
456.0,1,1.0,0,24,2
457.0,1,1.0,0,24,2
458.0,1,1.0,0,24,2
459.0,1,0.0,0,24,2
460.0,1,1.0,0,24,2
461.0,1,0.0,0,24,2
462.0,1,0.0,0,24,2
463.0,1,1.0,0,24,2
464.0,1,0.0,0,24,2
465.0,1,1.0,0,24,2
466.0,1,0.0,0,24,2
467.0,1,1.0,0,24,2
468.0,1,1.0,0,24,2
469.0,1,0.0,0,24,2
470.0,1,1.0,0,24,2
471.0,1,1.0,0,24,2
472.0,1,1.0,0,24,2
473.0,1,0.0,0,24,2
